id,name,url,description,categories,languages,countries,currency_score,relevance_score,authority_score,accuracy_score,purpose_score,total_score,max_possible_score,rating,has_about_page,has_contact_info,has_privacy_policy,has_terms_of_service,has_copyright_info,domain_age_years,last_updated,social_media_presence,ads_level,citations_found,https_enabled,domain
mashable,Mashable,https://sea.mashable.com,"Mashable is a global, multi-platform media and entertainment company.","technology, entertainment, science",english,"united kingdom, india, australia, singapore, united states of america",8,3,3,2,4,20,50,C (Below Average),True,False,False,False,False,0,,"['facebook', 'instagram', 'youtube']",High,False,True,sea.mashable.com
in_ign,In Ign,https://in.ign.com,"IGN India is your ultimate destination for xbox 360, xbox one, ps3, ps4, PC, Vita, 3DS & Iphone games with expert reviews, previews, news, cheat codes, wikis.","sports, science, technology, other, top, entertainment, business",english,india,8,3,9,2,6,28,50,C+ (Average),True,True,True,False,False,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,in.ign.com
prnewswire_apac,PR Newswire APAC,https://www.prnewswire.com/apac,"PR Newswire’s news distribution, targeting, monitoring, and marketing solutions help you connect and engage with target audiences across the globe.","environment, sports, technology, tourism, health, entertainment, business, politics",english,"cambodia, brunei, fiji, malaysia, bangladesh, afghanistan, south korea, nepal, philippines, sri lanka, pakistan, mongolia, thailand, india, australia, bhutan, maldives, new zealand, japan, singapore, hong kong, china, indonesia",8,6,7,4,6,31,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'linkedin']",High,False,True,www.prnewswire.com
gamespot,GameSpot,https://www.gamespot.com,"GameSpot delivers the best and most comprehensive video game and entertainment coverage, including news, reviews, trailers, walkthroughs, and guides for PS4, Xbox One, Nintendo Switch, PC, and Google Stadia.",entertainment,english,"united kingdom, india, australia, singapore, united states of america",8,2,6,5,7,28,50,C+ (Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.gamespot.com
arstechnica,Ars Technica,https://arstechnica.com,"Serving the Technologist for more than a decade. It is news, reviews, and analysis.","technology, sports, top, science",english,"united states of america, canada, india",8,3,5,5,4,25,50,C+ (Average),True,True,True,False,True,0,,"['facebook', 'instagram', 'youtube']",High,False,True,arstechnica.com
sportstar,SPORT STAR THE HINDU,https://sportstar.thehindu.com,"Sports News: Get the latest sports news, today's live sports coverage, live score updates, match schedules, and results of various sports events.","sports, entertainment",english,india,8,1,2,6,6,23,50,C (Below Average),False,False,False,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,sportstar.thehindu.com
india,India,https://www.india.com,"India.com brings Breaking News, Live News Updates from across India and the world. India.Com is your gateway to India for Latest News, Explainers, Cricket, Sports, Entertainment, Business, Bollywood, Education, Top Viral, Technology, Celebs, Lifestyle, Health, Travel and more.","sports, lifestyle, world, food, education, technology, other, health, top, business, entertainment",english,india,8,5,5,2,5,25,50,C+ (Average),True,True,True,False,False,0,,['instagram'],High,False,True,www.india.com
frontline_thehindu,Frontline Thehindu,https://frontline.thehindu.com,"Frontline, the fortnightly English magazine from The Hindu, since 1984. Covering politics, social issues, environment, finance, business, economy, science, technology, art, culture, movies, entertainment, and social media.","environment, science, education, tourism, other, top, health, entertainment, business, politics",english,india,8,5,5,4,7,29,50,C+ (Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,frontline.thehindu.com
washingtontimes,The Washington Times,https://www.washingtontimes.com,"The Times delivers that audience facts and commentary to inform and to celebrate the American values of freedom, faith and family.","environment, sports, world, technology, other, health, top, entertainment, business, crime, politics",english,"india, united states of america",8,6,0,3,2,19,50,D (Poor),False,False,False,False,False,0,,[],Unknown,False,True,www.washingtontimes.com
hellomagazine,Hellomagazine,https://www.hellomagazine.com,"HELLO! brings you the latest celebrity & royal news from the UK & around the world, magazine exclusives, fashion, beauty, lifestyle news, celeb babies, weddings, pregnancies and more!","lifestyle, food, tourism, other, health, entertainment, business",english,"united kingdom, canada, india",8,4,8,5,6,31,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.hellomagazine.com
dtnext,DT Next,https://www.dtnext.in,"DT Next is a daily English Newspaper. Stay updated with the latest news across Tamil Nadu, India, and the world. Read today's top headlines and breaking news.",top,english,india,8,1,6,5,6,26,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.dtnext.in
outlookindia,OUTLOOK,https://www.outlookindia.com,"Outlook covers the latest India news, analysis, business news and long-form stories on culture, money market and personal finance. Read India's best online magazine.",top,english,india,3,1,6,6,6,22,50,C (Below Average),True,True,False,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,www.outlookindia.com
hindustantimes,Hindustan Times,http://www.hindustantimes.com,"News Headlines: Hindustan Times provides exclusive top stories of the day, today headlines from politics, business, technology, photos, videos, latest English news, and much more.","sports, world, lifestyle, science, education, tourism, other, top, health, business, entertainment, technology",english,india,5,5,8,7,6,31,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'linkedin']",High,False,False,www.hindustantimes.com
yahoo,Yahoo! News,https://news.yahoo.com,The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.,"environment, sports, world, science, top, entertainment, business, politics",english,"united kingdom, india, australia, canada, united states of america",8,4,8,7,3,30,50,B (Above Average),True,False,True,True,True,0,,[],High,False,True,news.yahoo.com
investing_in,Investing India,https://in.investing.com,Investing.com India serves traders of a wide range of asset classes with real-time charts & quotes along with news and analysis,"world, top, business",english,india,8,2,1,3,2,16,50,D (Poor),False,False,False,False,False,0,,[],Unknown,False,True,in.investing.com
google,Google News,https://news.google.com,"Comprehensive, up-to-date news coverage, aggregated from sources all over the world by Google News.","sports, science, technology, health, top, entertainment, business","japanese, english, arabic","united kingdom, japan, india, united arab emirates, australia, singapore, canada, united states of america, saudi arabia",8,7,4,7,4,30,50,B (Above Average),False,False,False,False,True,0,,[],Low,False,True,news.google.com
news18,NEWS 18,https://www.news18.com,"Get the latest news and updates about assembly election result 2022 on Get CNN-News18 live news updates, Candidate, Won State-wise, MLA Seats &amp; Constituency, latest election news, UP, Punjab, Uttarakhand, Goa and Manipur Vidhan Sabha Election result 2022 latest update at News18.com","sports, world, lifestyle, technology, education, top, business, entertainment, politics",english,india,8,5,6,7,6,32,50,B (Above Average),True,True,True,False,True,0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.news18.com
espncricinfo,Espncricinfo,https://www.espncricinfo.com,"Get live cricket scores, cricket updates of upcoming International, domestic and T20 matches. Catch all the latest videos, news about cricket on ESPNcricinfo.",sports,english,"zimbabwe, new zealand, united kingdom, india, bangladesh, australia, south africa, world, sri lanka, pakistan",8,3,3,4,6,24,50,C (Below Average),False,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.espncricinfo.com
abplive,Abp News,http://abplive.com,"ABP LIVE Hindi News: Latest News in Hindi, Hindi News Headlines, Breaking News in Hindi, हिंदी न्यूज़,  ताजा ख़बरें, Hindi Samachar on ABP News. हिंदी समाचार, Latest News in Hindi from India and World on ABP News.","sports, world, lifestyle, science, technology, education, other, top, health, crime, entertainment, business, politics","gujarati, punjabi, bengali, english, telugu, hindi, marathi, tamil",india,5,7,5,7,6,30,50,B (Above Average),True,True,True,False,True,0,,"['facebook', 'instagram', 'youtube']",High,False,False,abplive.com
telecom_economictimes,ET Telecom,https://telecom.economictimes.indiatimes.com,"Find the latest telecom Industry news, online Industry information, views & updates. Get online news from the Indian Telecom Industry on ET Telecom.",technology,english,india,8,1,8,2,6,25,50,C+ (Average),True,True,True,True,False,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,telecom.economictimes.indiatimes.com
engadget,Engadget,https://www.engadget.com,"Engadget is the original home for technology news and reviews. Since its founding in 2004, we've grown from an exhaustive source for consumer tech news to a global multimedia organization covering the intersection of technology, gaming, and entertainment.",technology,english,"united kingdom, united states of america, india, singapore",8,2,5,5,7,27,50,C+ (Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,www.engadget.com
in_mashable,In Mashable,https://in.mashable.com,"Mashable is a global, multi-platform media and entertainment company.","lifestyle, science, technology, education, health, top, entertainment",english,india,8,3,7,2,4,24,50,C (Below Average),True,True,True,False,False,0,,"['facebook', 'youtube']",High,False,True,in.mashable.com
bbc,The BBC,http://www.bbc.com,"Breaking news, sport, TV, radio, and a whole lot more. The BBC informs, educates, and entertains - wherever you are, whatever your age.","entertainment, politics, technology, health, tourism, business, top, science, sports, world","hindi, turkish, english, persian","iran, united states of america, pakistan, afghanistan, india, united kingdom, turkey",5,9,10,6,3,33,50,B (Above Average),True,True,True,True,True,0,,[],High,False,False,www.bbc.com
mirroruk,Mirror,https://www.mirror.co.uk,"Mirror.co.uk is the online edition of The Mirror, one of Britain’s most trusted news brands.","environment, sports, world, lifestyle, science, food, technology, top, health, business, entertainment, crime, politics",english,"austria, rwanda, germany, united kingdom, iran, italy, brazil, japan, india, iceland, israel, world, belgium, china, united states of america, mexico, iraq",8,8,8,7,4,35,50,B+ (Good),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram']",High,False,True,www.mirror.co.uk
business-standard,Business Standard,https://www.business-standard.com,"Business News: Get the latest stock share market news, financial news, economy news, company news, politics news, India news, breaking news, Indian economy news at Business Standard. Catch Nifty Sensex Live updates.","sports, world, lifestyle, science, technology, education, other, health, top, entertainment, business, politics","english, hindi","world, united states of america, india",8,7,0,4,3,22,50,C (Below Average),False,False,False,False,False,0,,[],Unknown,False,True,www.business-standard.com
moneycontrol,Moneycontrol,https://www.moneycontrol.com,"Latest news on Cryptocurrency today, top cryptocurrency prices bitcoin, dogecoin, ethereum. Get details about indian cryptocurrency latest news on current rates and prices.","world, top, business, politics",english,india,8,2,1,2,2,15,50,D (Poor),False,False,False,False,False,0,,[],Unknown,False,True,www.moneycontrol.com
indianexpress,The Indian Express,https://indianexpress.com,"India News, Latest News - Indian Express provides the latest news today from India and the world. Get all exclusive Breaking News, current headlines, live news, latest news on business, sports, the world, and entertainment with exclusive Opinions and Editorials.","sports, lifestyle, technology, education, other, top, health, business, entertainment, politics","tamil, english, malayalam, gujarati",india,8,7,6,6,7,34,50,B (Above Average),True,True,True,False,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,indianexpress.com
livemint,MINT,https://www.livemint.com,Mint is the clear No.2 among business papers in terms of readership.,"sports, science, technology, top, business, politics",english,india,8,3,6,7,4,28,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.livemint.com
rt,RT,https://www.rt.com/rss,RT is the first Russian 24/7 English-language news channel that brings the Russian view on global news.,"world, other, top, entertainment, business, politics",english,"mozambique, mauritania, malawi, tunisia, madagascar, liberia, south africa, burundi, libya, seychelles, central african republic, morocco, ghana, ivory coast, djibouti, gabon, algeria, kenya, united kingdom, senegal, benin, uganda, lesotho, botswana, rwanda, namibia, cape verde, zambia, india, sudan, guinea, cameroon, gambia, equatorial guinea, sierra leone, ethiopia, togo, dr congo, nigeria, zimbabwe, chad, eritrea, mauritius, tanzania, somalia, angola, russia, burkina fasco",8,6,0,6,6,26,50,C+ (Average),False,False,False,False,True,0,,[],Minimal/None,False,True,www.rt.com
economist,The Economist,https://www.economist.com,"Published since September 1843 to take part in “a severe contest between intelligence, which presses forward, and an unworthy, timid ignorance obstructing our progress.”","world, science, technology, other, top, business",english,"taiwan, syria, qatar, malaysia, lebanon, timor-leste, costa rica, greece, poland, portugal, croatia, slovenia, laos, united kingdom, venezuela, liechtenstein, macedonia, albania, iran, haiti, mexico, macau, malta, kazakhstan, india, nicaragua, cyprus, azerbaijan, turkey, luxembourg, guyana, united arab emirates, oman, serbia, hong kong, china, vietnam, turkmenistan, sweden, cambodia, switzerland, dominican republic, bangladesh, libya, jamaica, finland, south korea, austria, chile, dominica, france, guatemala, el salvador, pakistan, tajikistan, ecuador, thailand, andorra, denmark, vatican, san marino, maldives, bolivia, kuwait, georgia, barbados, israel, singapore, belgium, bahrain, ireland, brunei, bosnia and herzegovina, monaco, afghanistan, romania, djibouti, algeria, kosovo, hungary, moldova, philippines, estonia, mongolia, honduras, bhutan, uruguay, saudi arabia, jordan, iraq, peru, yemen, paraguay, kyrgyzstan, germany, mauritania, tunisia, ukraine, united states of america, puerto rico, lithuania, slovakia, morocco, bulgaria, belize, latvia, bahamas, panama, nepal, egypt, spain, north korea, belarus, sri lanka, netherland, colombia, cuba, italy, iceland, sudan, canada, uzbekistan, armenia, montenegro, ethiopia, norway, myanmar, japan, somalia, brazil, argentina, suriname, indonesia, czech republic, russia",8,6,5,5,6,30,50,B (Above Average),True,False,True,True,True,0,,"['facebook', 'instagram', 'youtube', 'linkedin']",High,False,True,www.economist.com
zeenews,ZEE News,http://zeenews.india.com,"Zee News brings the latest news from India and World on breaking news, today news headlines, politics, business, technology, Bollywood, entertainment, sports, and others. Find exclusive news stories on Indian politics, current affairs, cricket matches, festivals, and events.","domestic, sports, world, science, technology, other, health, top, entertainment, business","gujarati, bengali, english, malayalam, kannada, telugu, hindi, tamil",india,5,7,5,4,6,27,50,C+ (Average),True,True,True,False,False,0,,"['facebook', 'twitter', 'instagram']",High,False,False,zeenews.india.com
hindustantimes_tech,HT Tech,https://tech.hindustantimes.com,"Technology News - Find the latest technology news on mobile phones, laptops, gadgets, gaming, and wearables. Get the latest reviews and updates of all the gadgets with specifications, latest photos and videos on HT Tech.","technology, entertainment",english,india,8,1,8,5,7,29,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,tech.hindustantimes.com
toi,The Times of India,https://timesofindia.indiatimes.com,"Top News in India: Read Latest News on Sports, Business, Entertainment, Blogs, and Opinions from leading columnists. Times of India brings the Breaking News and Latest News Headlines from India and around the World.","environment, domestic, sports, lifestyle, world, science, food, education, technology, other, top, health, business, entertainment, crime, politics",english,india,8,5,6,7,7,33,50,B (Above Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,timesofindia.indiatimes.com
gadgets360,Gadgets 360,https://www.gadgets360.com,"Tech News, Latest technology news daily, new best tech gadgets reviews which include mobiles, tablets, laptops, video games. Being a tech news site we cover the latest tech news daily online from India and around the world, reviews, updates on technology today from companies like google, apple, samsung and others also new and upcoming mobiles, cameras, laptops, video games.","science, technology, top, entertainment, business",english,india,8,2,6,5,7,28,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.gadgets360.com
firstpost,Firstpost,https://www.firstpost.com,"LIVE Updates: Get the Latest Breaking News from India and the World, Health, Politics, Arts and Entertainment, Sports, Business, Education, Technology and much more - Firstpost.com","sports, world, education, technology, top, health, entertainment, business, politics",english,india,8,5,2,6,5,26,50,C+ (Average),True,False,False,False,True,0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.firstpost.com
gsmarena,GSM Arena,https://www.gsmarena.com,GSMArena.com - The ultimate resource for GSM handset information.,technology,english,india,8,1,5,5,7,26,50,C+ (Average),False,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",Low,False,True,www.gsmarena.com
vogue,Vogue,https://www.vogue.com,"VOGUE India is the one-stop destination for women's fashion, beauty, lifestyle and entertainment content. Get fashion &amp; beauty tips from experts, and celeb-inspiration for looks, home decor, and more.",entertainment,"portuguese, spanish, english, traditional chinese, italian, japanese, german, french, korean","taiwan, germany, united kingdom, brazil, france, italy, india, japan, spain, singapore, united states of america, mexico, south korea",8,6,6,6,6,32,50,B (Above Average),True,True,True,False,True,0,,"['facebook', 'twitter', 'instagram']",High,False,True,www.vogue.com
pcmag,PCMag,https://www.pcmag.com,"PC Magazine is your complete guide to computers, phones, tablets, peripherals, and more. We test and review the latest gadgets, products, and services, report technology news and trends, and provide shopping advice and price comparisons.",top,english,india,8,1,2,2,3,16,50,D (Poor),False,False,False,False,False,0,,[],Unknown,False,True,www.pcmag.com
businesstoday,Business News India,https://www.businesstoday.in,"Business News Today: Get latest business news from India, breaking business news updates, live share market news today, trending business news, stocks, IPO, finance, economy, crypto stories on Business Today.",top,english,india,8,1,6,5,6,26,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.businesstoday.in
newsable_asianetnews,Asianet Newsable,https://newsable.asianetnews.com,"News Today: Get latest news headlines from India and World. Read top National News, Current News and Trending News stories, Photos, Videos from Entertainment, Bollywood, Politics, Sports, Cricket, Astrology, Crime and many more at Asianet Newsable.",top,english,india,8,1,4,5,6,24,50,C (Below Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram']",High,False,True,newsable.asianetnews.com
buzzfeed,BuzzFeed,https://www.buzzfeed.com,"BuzzFeed has breaking news, vital journalism, quizzes, videos, celeb news, Tasty food videos, recipes, DIY hacks, and all the trending buzz you’ll want to share with your friends. Copyright BuzzFeed, Inc. All rights reserved.","other, top, business, entertainment","spanish, japanese, english","spain, japan, india, united states of america",8,5,8,5,4,30,50,B (Above Average),True,True,True,True,True,0,,[],High,False,True,www.buzzfeed.com
sportskeeda,Sportskeeda,http://sportskeeda.com,"Read all the latest Sports News & Live Updates in Sportskeeda. Get Live Scores, Fixtures, Schedules, Points Table, Team Standings & Match Updates on All Sports like Football, Cricket, NBA, WWE, Kabaddi, etc.",sports,english,india,3,1,10,6,7,27,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,False,sportskeeda.com
prokerala,Prokerala,https://www.prokerala.com,"Prokerala - Health, Ayurveda, Travel, Astrology, Ringtones, News","lifestyle, top",english,india,6,1,2,3,4,16,50,D (Poor),False,True,False,False,True,0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.prokerala.com
